province,district,crop,csa,adoption,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,productivity,adaptation,mitigation,hazard,hazard_1,hazard_2,hazard_3,barrier_1,b1_exp,barrier_2,b2_exp,name,contact,source
Sindh,Tharparkar,Beans,Green manuring,Not adopted (because every part of crop is consumed),Soil & Nutrient,Yield Income,Water,Carbon,,,"Increased yields by 10% [1]
14% more profitable than conventional practices [2]","Water saving upto 20% [1]
Increased water-holding capacity and decreased soil loss via erosion [2]
Can decrease soil salinity (when using saline toleran variaties) [2]
","Increases organic matter in soil [2]
Reduced fertilizer input costs [2]
Nitrigen added to soil through nitrogen fixation [2]",Drought,Salinization,,,Labour,Labour intensive,Training & Info,Farmers unaware of benefits,Nam Nguyen,,link
Sindh,Tharparkar,Millet,Community based seed quality management,Adopted 30-60%,Crop & Livestock Suitability,Yield Income,Plant Animal health,,,,"provision of productive and climate-adapted seeds where private companies are not able to deliver, thereby increasing yield","community seed banks can be essential instruments for conserving local varieties, restoring ‘lost’ varieties and sharing knowledge and expertise among farmers. 
They therefore serve as a buffer against environmental and economic losses.","High-performing and adapted seeds can reduce resource requirements, indirectly reducing GHGs",Flooding,Drought,Pest & Disease,,Policy & Inst,"Lack of regulatory and legal framework to promote CBSS, as supposed to formal private-sector seed production",Training & Info,Farmers lack training for the practice,Nam Nguyen,,link
Sindh,Tharparkar,Millet,Composting,Adopted,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link
Sindh,Tharparkar,Millet,Laser land levelling,Not adopted,Water,Carbon,Yield Income,Soil & Nutrient,Plant Animal health,,"Improve yields by 12-20% [3, 5]
Increases yields and germination rates [2]
","30-50% reduction in the use of irrigation water [4, 5]
Reducing water requirement in drought prone areas 
Reduces water logging and salinity by upto 42% [4]
","Reduce energy use by 31% [3]
Improved fertiliser use efficiency 15-35% [4]
",Drought,Salinization,,,Economic,Higher costs for production,Market,Not enough service providers,Nam Nguyen,,link
Sindh,Tharparkar,Millet,Crop Rotation,Adopted <30%,Soil & Nutrient,Biodiversity,Plant Animal health,Yield Income,Carbon,Water,Crop rotation increases total production and productivity per unit area of land. Harvests of multiple crops from this system increase farmer’s income and food security.,This practice reduces the risk of total crop failure due to diversification of crops under climatic shocks. Improves soil fertility. Rotating crops maintains soil fertility and minimizes the incidence of pests and diseases.,"The practice of crop rotation helps to protect soil structure, increases soil organic matter and organic carbon reserves. Leguminous species integration reduces the need of synthetic fertilizers. When combined with nitrogen fixation species (leguminous) reduces the use of nitrogen-based synthetic fertilizers.",Pest & Disease,Drought,High temps,Flooding,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link
Sindh,Tharparkar,Millet,Agroforestry systems (establishment of wind barriers),Want to Adopt,Water,Soil & Nutrient,Carbon,Landscapes,Biodiversity,Yield Income,Agroforestry increases productivity and farmers’ incomes from a diversified production system with food security benefits.,"Promotes soil and water conservation. [2]
Reduces erosion, land degradation and vulnerability to climate shocks, increased soil stabilization and water infiltration rates.[3]
",Increased above- and below-ground biomass from agroforestry increases carbon stocks in the soil and reduce soil C losses from erosion. [3],Drought,High temps,Flooding,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link
Sindh,Tharparkar,Cattle,Controlled Shed,Want to adopt <5%,Plant Animal health,Yield Income,Crop & Livestock Suitability,Carbon,,,"Faster growth and higher feed conversion ratio due to proper housing.
For poultry farming, it is estimated Net revenue was PKR 10.269 per broiler for open shed and PKR 72.502 per broiler for Environmentally Controlled shed","Reduces exposure to adverse climatic conditions, reducing animal’s stresses.","Allows better manure management, thereby reducing the related GHG emissions.",High temps,Pest & Disease,Heavy rains,,Economic,Higher costs for production,Training & Info,Farmers lack training for the practice,Nam Nguyen,,link
Sindh,Tharparkar,Cattle,Community based seed quality management,Want to adopt <5%,Crop & Livestock Suitability,Yield Income,Plant Animal health,,,,"provision of productive and climate-adapted seeds where private companies are not able to deliver, thereby increasing yield","community seed banks can be essential instruments for conserving local varieties, restoring ‘lost’ varieties and sharing knowledge and expertise among farmers. 
They therefore serve as a buffer against environmental and economic losses.","High-performing and adapted seeds can reduce resource requirements, indirectly reducing GHGs",Flooding,Drought,Pest & Disease,,Policy & Inst,"Lack of regulatory and legal framework to promote CBSS, as supposed to formal private-sector seed production",Training & Info,Farmers lack training for the practice,Nam Nguyen,,link
Sindh,Tharparkar,Cattle,Improved Varieties,Want to adopt (Drought) 30-60%,Crop & Livestock Suitability,Plant Animal health,Yield Income,Water,Carbon,,"High yielding, resilient varieties reduce
losses and increase productivity.","Improved varieties reduce losses under
adverse climatic conditions along with pest
and disease outbreaks.","Reduced requirement for pesticide and
fungicide use reduces emissions and
associated environmental degradation.",Drought,Flooding,Pest & Disease,,Market,Lack of available improved varieties. Seed supply does not meet demand.,,,Nam Nguyen,,link
Sindh,Tharparkar,Cattle,Improved Breeds,Want to adopt 10%,Crop & Livestock Suitability,Plant Animal health,Yield Income,Carbon,,,"Reduced losses in times of drought or
extreme heat increase productivity.","Livestock breeds selected to be resilient to
extreme conditions","Varieties which produce fewer methane
emissions can be selected",High temps,Pest & Disease,,,Policy & Inst,Institutions lack resources to drive tangible breed improvement and improved utilization,Market,Lack of available improved breeds,Nam Nguyen,,link
Sindh,Tharparkar,Cattle,Early Maturing Varieties,Want to adopt 5%,Crop & Livestock Suitability,Yield Income,Plant Animal health,Carbon,,,"Promotes high yields per unit area hence
an increase in income and profit due to
reduced production costs","reducing the vulnerability of farmers to extreme events.
reduce harvest and post?harvest loses and increases the food security
Optimizes the use of available soil moisture contributing to avoid crop loss. Increases water use efficiency.","Provides moderate reduction in GHG
emissions per unit of food produced.",Drought,Flooding,Pest & Disease,,Market,Lack of available improved varieties. Seed supply does not meet demand.,,,Nam Nguyen,,link
